,valence,energy,acousticness
11662,0.655,0.7959999999999999,0.22
19656,0.4639999999999999,0.437,0.0438
1460,0.565,0.451,0.193
1566,0.282,0.7979999999999999,0.115
1181,0.181,0.527,0.506
659,0.0832,0.753,0.313
6220,0.41,0.311,0.251
12514,0.49,0.971,0.0027
494,0.4429999999999999,0.6759999999999999,0.0618
9161,0.357,0.534,0.585
7715,0.6759999999999999,0.718,0.0129
6958,0.456,0.596,0.0998
2334,0.547,0.475,0.521
4283,0.264,0.8170000000000001,0.1939999999999999
1858,0.51,0.4539999999999999,0.177
20580,0.492,0.282,0.17
20736,0.58,0.574,0.246
2056,0.647,0.853,0.15
1014,0.391,0.20699999999999996,0.821
20633,0.838,0.775,0.0831
20321,0.5820000000000001,0.4429999999999999,0.596
1917,0.20699999999999996,0.603,0.0948
19104,0.727,0.479,0.0417
15287,0.647,0.5720000000000001,0.157
21351,0.54,0.4029999999999999,0.8290000000000001
936,0.7,0.551,0.461
4828,0.488,0.385,0.371
1369,0.6409999999999999,0.589,0.155
16009,0.4629999999999999,0.431,0.03
9248,0.615,0.636,0.302
4822,0.617,0.789,0.0185
7242,0.237,0.946,0.000118
4232,0.523,0.636,0.157
8907,0.625,0.597,0.113
7228,0.688,0.6779999999999999,0.5429999999999999
8044,0.354,0.472,0.158
16588,0.436,0.364,0.8079999999999999
17768,0.487,0.504,0.0953
6596,0.286,0.426,0.0683
3715,0.52,0.7290000000000001,0.563
10149,0.634,0.644,0.185
18020,0.316,0.452,0.342
18998,0.693,0.698,0.0862
9579,0.536,0.772,0.406
13495,0.461,0.10199999999999998,0.94
6219,0.625,0.321,0.2289999999999999
15201,0.68,0.713,0.0619
18084,0.469,0.828,0.0435
13307,0.52,0.308,0.883
18630,0.627,0.75,0.201
7742,0.75,0.469,0.435
13461,0.321,0.186,0.868
3140,0.131,0.929,0.00221
1043,0.473,0.434,0.53
8395,0.6459999999999999,0.415,0.0536
9836,0.15100000000000002,0.325,0.3279999999999999
6881,0.14200000000000002,0.925,0.00171
5424,0.456,0.5870000000000001,0.0725
8860,0.377,0.578,0.316
18220,0.429,0.3979999999999999,0.0501
7766,0.8540000000000001,0.857,0.259
8767,0.696,0.5820000000000001,0.0379
14247,0.11699999999999988,0.462,0.126
1641,0.0771,0.508,0.24
10935,0.882,0.489,0.0173
5718,0.5329999999999999,0.457,0.21
9784,0.293,0.615,0.0648
19593,0.23099999999999998,0.5379999999999999,0.187
3675,0.635,0.627,0.5660000000000001
21158,0.541,0.427,0.3389999999999999
16611,0.37,0.184,0.866
20246,0.423,0.3929999999999999,0.858
14360,0.5770000000000001,0.767,0.0525
4090,0.773,0.675,0.00377
1140,0.409,0.7979999999999999,0.187
14262,0.8490000000000001,0.422,0.109
4938,0.425,0.64,0.0247
19571,0.297,0.61,0.0456
16482,0.51,0.737,0.216
10032,0.795,0.775,0.0262
19696,0.265,0.418,0.467
2292,0.41,0.311,0.251
13382,0.551,0.09350000000000003,0.924
6886,0.326,0.907,0.0148
5500,0.8740000000000001,0.6409999999999999,0.01
16720,0.3779999999999999,0.235,0.62
2484,0.03899999999999998,0.626,0.000256
6859,0.58,0.20499999999999996,0.569
15510,0.611,0.432,0.679
20368,0.437,0.696,0.762
21141,0.506,0.29,0.0279
8872,0.62,0.449,0.695
11045,0.5489999999999999,0.893,0.158
6496,0.06430000000000002,0.725,0.00299
19472,0.865,0.865,0.0766
16515,0.291,0.362,0.143
1680,0.309,0.44,0.0353
8234,0.367,0.465,0.0117
15824,0.445,0.368,0.299
20858,0.37,0.347,0.5479999999999999
1343,0.442,0.703,0.00261
10561,0.235,0.8109999999999999,0.0322
17915,0.481,0.324,0.0125
19381,0.639,0.494,0.3229999999999999
13478,0.342,0.058699999999999974,0.95
2133,0.16300000000000003,0.873,0.182
6670,0.78,0.498,0.00463
17511,0.8170000000000001,0.621,0.0667
20557,0.52,0.415,0.151
7236,0.564,0.542,0.135
16517,0.22599999999999998,0.407,0.247
5872,0.612,0.519,0.14
